"ID","sex","origin","2011_04","2011_05","2011_08","2011_09","2011_11","2012_02","2012_05","2013_01","2013_07","2014_06","2015_03","2016_03","2016_08","2017_03","2017_08","2018_02","2018_08","2019_09","2021_02","2021_06"
"2016_085","male","W",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2016_004","female","W",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"2016_086","female","W",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2016_088","male","W",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2016_089","male","W",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2016_090","male","W",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"2016_091","male","W",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2016_092","female","W",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2016_093","female","W",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2016_095","male","W",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2016_096","female","W",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2016_097","female","W",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2016_098","male","W",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2016_099","male","W",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2016_100","male","W",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"2016_101","male","W",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2016_102","female","W",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2016_103","female","W",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"2017_001","female","W",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2017_002","female","W",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"2017_003","female","W",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2017_004","male","W",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2017_006","female","W",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2017_008","female","W",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2017_009","female","W",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2017_010","male","W",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2017_012","male","W",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2017_014","female","W",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2017_015","female","W",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2017_016","female","W",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"2017_017","female","W",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2017_018","male","W",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2017_019","male","W",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2017_020","female","W",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2017_022","male","W",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"2017_023","female","W",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2017_024","male","W",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2017_026","female","W",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
"2017_027","female","W",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"2017_028","female","W",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2017_029","male","W",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2017_030","male","W",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2017_031","male","W",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2017_032","male","W",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2017_033","male","W",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2017_034","female","W",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2017_035","male","W",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2017_036","female","W",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2017_037","male","W",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2017_039","female","W",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"2017_041","female","W",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"2017_042","male","W",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2017_043","female","W",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2017_046","male","W",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2017_047","female","W",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2017_049","female","W",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2017_050","male","W",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2017_051","female","W",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2017_052","male","W",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2017_053","female","W",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2017_055","female","W",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2017_056","male","W",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2017_057","female","W",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2017_058","male","W",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2017_059","female","W",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"2017_060","female","W",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"2017_061","male","W",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"2017_062","male","W",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"2017_063","male","W",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"2017_064","female","W",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"2017_065","male","W",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"2017_066","female","W",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"2017_067","female","W",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"2017_068","male","W",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"2017_069","male","W",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"2017_071","female","W",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"2017_072","male","W",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"2017_073","female","W",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"2017_074","male","W",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"2017_075","female","W",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
"2017_076","female","W",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"2017_077","male","W",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"2017_078","male","W",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
